#OTU ID	ERR8056034	ERR8056035	ERR8056037	ERR8056042	ERR8056045	ERR8056051	ERR8056057	ERR8056066	ERR8056069	ERR8056078
Otu5344	2	0	0	0	0	0	0	0	0	0
Otu573	1	1	0	0	0	0	0	0	51	0
Otu831	2	32	0	4	1	10	3	0	0	0
Otu567	40	0	3	7	1	1	0	0	0	0
Otu342	23	87	50	4	0	8	0	0	0	0
Otu529	1	34	0	5	19	20	0	0	1	0
Otu1697	25	385	1127	801	118	13	99	154	213	49
Otu4804	1	5	0	0	0	0	0	0	0	0
Otu1130	9	6	13	0	0	0	0	0	2	0
Otu10	172	1801	1	372	14	45	0	0	1	0
Otu2697	9	0	0	0	0	0	0	0	0	0
Otu15	3	57	480	637	539	23	376	1	519	3
Otu266	77	1	0	5	75	53	11	15	1	0
Otu1500	2	4	0	2	1	13	0	0	0	0
Otu4512	1	0	15	0	0	1	0	0	4	0
Otu74	2	171	114	14	20	36	36	0	22	0
Otu5384	4	8	0	2	0	0	0	0	0	0
Otu368	59	0	3	2	1	0	0	0	0	0
Otu98	40	94	101	6	1	67	0	0	0	0
Otu4586	1	2	0	0	0	0	0	0	0	0
Otu458	5	38	3	3	2	31	0	0	0	0
Otu657	1	33	0	0	0	0	0	0	0	0
Otu2164	16	0	0	0	0	0	0	0	0	0
Otu1420	12	0	0	0	3	0	0	0	0	0
Otu1406	24	0	0	0	0	0	0	0	0	0
Otu7909	3	0	0	0	0	1	0	0	0	0
Otu3340	4	1	2	0	0	0	0	0	2	0
Otu1397	14	0	0	0	0	0	0	0	0	0
Otu2688	6	0	0	0	0	4	0	0	0	0
Otu1573	3	1	3	0	2	1	0	0	0	0
Otu349	22	37	16	0	0	4	0	0	0	0
Otu5421	15	1	0	0	0	0	0	0	0	0
Otu2249	5	2	0	1	1	0	0	6	1	1
Otu934	4	2	1	0	14	27	8	13	8	0
Otu5708	3	17	0	2	1	15	0	0	0	0
Otu109	17	16	7	26	8	131	98	12	6	20
Otu6723	7	98	179	66	0	14	0	1	3	3
Otu1802	2	16	2	1	0	2	0	0	0	0
Otu656	35	0	0	0	0	0	0	0	0	0
Otu4789	3	0	0	0	0	0	0	0	0	0
Otu1858	11	0	0	2	0	0	0	0	0	0
Otu834	15	1	3	0	4	14	0	0	0	0
Otu947	28	0	0	0	0	0	0	0	0	0
Otu4236	6	0	0	0	0	0	0	0	0	0
Otu1035	1	6	0	6	7	18	0	0	0	0
Otu2084	11	0	0	0	0	0	0	0	0	0
Otu4557	3	0	0	0	0	0	0	0	0	0
Otu99	26	38	18	55	185	66	149	356	326	129
Otu1593	12	0	4	0	0	0	0	0	3	0
Otu7144	18	3	0	12	1	0	17	0	8	0
Otu796	3	40	0	6	0	7	0	0	0	3
Otu1150	15	1	1	3	0	1	0	0	0	0
Otu1652	7	25	0	0	0	1	0	0	0	2
Otu488	27	1	3	3	3	21	0	1	3	5
Otu2540	3	3	4	6	10	5	5	0	4	9
Otu4560	2	2	0	0	1	0	0	0	0	0
Otu1535	11	0	1	0	55	1	3	0	0	0
Otu235	1	11	0	30	61	94	184	107	50	233
Otu1789	19	0	0	0	0	0	0	0	0	0
Otu1309	16	0	0	0	2	2	0	0	0	0
Otu196	1	1	0	32	104	0	14	9	8	45
Otu39	25	1495	23	77	97	561	1	0	1	11
Otu1043	22	0	0	0	0	0	0	0	0	0
Otu1156	6	3	6	7	5	7	5	4	0	10
Otu4367	2	5	0	1	1	0	0	0	0	0
Otu447	50	14	82	9	20	7	11	0	11	0
Otu5868	4	0	0	0	0	1	0	0	0	0
Otu1763	12	0	0	0	0	0	0	0	0	0
Otu1897	16	0	0	0	0	1	0	0	0	0
Otu4286	3	18	1	1	0	4	0	0	0	0
Otu4327	2	3	0	1	0	6	0	0	0	0
Otu2113	8	0	0	1	2	17	1	0	5	6
Otu1120	15	0	0	1	3	2	2	0	1	3
Otu7878	4	0	0	0	0	0	0	0	0	0
Otu271	6	93	0	6	0	33	0	0	0	0
Otu2189	1	4	2	1	11	1	0	0	1	0
Otu6014	3	2	1	5	12	14	2	1	1	2
Otu97	14	242	6	56	1	65	0	0	0	0
Otu7880	2	0	0	0	0	0	0	0	0	0
Otu2445	2	0	0	0	3	3	2	0	1	2
Otu3139	1	15	1	3	0	0	0	0	0	0
Otu259	6	232	0	58	27	140	0	0	0	0
Otu638	15	70	9	3	0	6	0	0	0	0
Otu276	34	23	82	2	0	23	0	0	0	0
Otu1101	1	40	1	2	11	31	0	0	0	0
Otu163	2	131	4	30	2	53	0	0	0	0
Otu2931	8	1	6	0	0	0	0	0	0	0
Otu887	5	42	19	35	7	34	1	0	3	1
Otu494	46	9	17	0	0	3	0	0	0	0
Otu2301	3	7	5	3	1	3	0	0	1	0
Otu5842	21	2	10	0	0	9	0	0	2	1
Otu2210	7	0	0	0	0	0	0	0	0	0
Otu2992	3	8	0	3	1	2	0	0	0	0
Otu2843	9	0	0	0	3	0	0	0	1	0
Otu7308	4	0	0	0	0	0	0	0	0	0
Otu1437	12	0	0	0	0	0	0	0	0	0
Otu1494	2	10	15	0	1	16	0	0	0	0
Otu5286	3	0	0	0	0	1	0	0	0	0
Otu4793	6	0	1	0	0	0	0	0	0	0
Otu302	13	16	18	4	32	8	17	0	7	0
Otu913	1	4	44	0	0	0	0	0	0	0
Otu2155	8	0	0	0	1	4	1	2	1	0
Otu3292	9	0	1	0	0	0	0	0	0	0
Otu4791	1	1	0	0	0	2	0	0	0	0
Otu1775	1	7	0	7	3	2	0	0	0	0
Otu715	22	1	0	0	0	7	2	0	3	4
Otu136	7	232	40	0	0	6	0	0	0	0
Otu1618	12	0	0	0	0	0	0	0	0	0
Otu1350	6	1	2	0	0	6	8	0	2	1
Otu2169	11	0	0	0	0	0	0	0	0	0
Otu1727	1	22	0	5	0	1	0	0	0	0
Otu3213	6	0	0	0	0	1	0	0	0	0
Otu95	1	564	10	32	5	31	5	0	7	0
Otu4624	11	5	51	7	0	3	1	0	2	0
Otu288	4	93	0	19	33	119	14	9	13	21
Otu2410	3	4	3	2	2	3	0	0	0	0
Otu2641	1	16	2	2	0	2	0	0	0	0
Otu993	15	4	6	0	4	8	0	0	30	9
Otu3583	1	3	0	2	0	3	0	4	0	0
Otu359	3	10	6	8	44	75	33	2	4	14
Otu5281	1	3	1	0	0	0	0	0	0	0
Otu1896	1	0	0	0	1	5	6	0	0	4
Otu1192	13	3	5	1	0	0	0	0	0	0
Otu4488	12	1	2	0	0	1	0	0	0	0
Otu2529	1	0	1	0	5	15	3	0	0	0
Otu3373	1	7	0	1	4	3	1	0	0	0
Otu784	28	1	1	1	0	0	0	0	0	0
Otu264	37	3	65	0	0	2	0	0	0	0
Otu1734	1	6	0	0	0	4	0	0	0	0
Otu111	3	89	0	30	7	153	0	0	0	0
Otu1917	8	0	0	0	5	0	0	0	0	0
Otu521	8	140	1	47	11	50	0	0	0	0
Otu4697	7	147	2	33	13	25	0	0	0	0
Otu3665	3	11	2	3	20	38	0	0	0	6
Otu2702	10	0	0	0	0	0	0	0	0	0
Otu4483	2	0	2	0	0	0	0	0	0	0
Otu11	3	141	2238	395	3	12	5	6	7	0
Otu2824	2	2	0	0	3	5	2	0	0	2
Otu2206	5	0	1	0	1	1	0	0	0	0
Otu230	12	12	3	6	40	150	100	11	17	42
Otu6269	1	0	0	2	7	0	0	0	0	2
Otu1382	12	0	1	0	0	3	0	0	0	0
Otu3514	2	2	0	5	3	3	0	0	0	0
Otu5232	1	0	0	0	0	3	0	0	0	0
Otu207	1	0	0	1	1	128	1	0	3	1
Otu5300	3	0	0	0	0	0	0	0	0	0
Otu7855	2	0	0	0	0	0	0	0	0	0
Otu2056	7	4	5	1	0	2	4	0	5	0
Otu7858	4	0	0	0	0	0	0	0	0	0
Otu2131	1	1	4	1	7	4	13	0	7	1
Otu7856	4	0	0	0	0	0	0	0	0	0
Otu2323	5	5	14	2	0	1	0	0	1	0
Otu2369	3	0	0	2	0	7	0	0	0	0
Otu2834	4	0	0	0	0	2	0	0	0	0
Otu7160	17	40	8	1	0	6	0	0	0	0
Otu144	4	86	1	22	39	128	81	0	50	8
Otu4709	4	0	0	0	0	0	0	0	0	0
Otu4470	3	0	0	0	0	0	0	0	0	0
Otu4951	4	0	0	0	0	0	0	0	0	0
Otu4781	1	18	2	1	0	6	0	0	0	0
Otu4104	4	27	2	3	33	59	6	11	6	8
Otu4814	3	0	0	0	0	0	0	0	0	0
Otu1099	28	4	2	1	5	2	0	0	0	0
Otu4191	5	0	0	0	5	3	4	4	2	12
Otu2827	3	3	0	0	0	4	0	0	0	0
Otu7299	4	0	0	0	1	0	1	0	0	8
Otu1222	1	2	5	4	0	7	0	0	0	0
Otu639	2	131	24	8	1	34	0	0	1	0
Otu817	3	32	5	6	2	0	0	0	0	0
Otu3306	8	0	0	0	0	0	0	0	0	0
Otu1467	14	3	23	0	0	3	0	0	0	0
Otu3417	12	0	0	0	0	3	0	0	1	0
Otu4960	2	0	0	0	0	0	0	0	0	0
Otu1767	1	10	3	0	4	0	0	0	0	0
Otu3163	9	0	0	0	0	0	0	0	0	0
Otu5857	9	1	0	0	2	2	0	0	2	0
Otu721	3	15	0	3	0	29	0	0	0	0
Otu6644	3	0	3	0	2	2	0	0	0	0
Otu4485	1	5	0	0	0	0	0	0	0	0
Otu1213	22	0	0	0	0	0	0	0	0	0
Otu4507	4	0	0	0	0	0	0	0	0	0
Otu622	9	143	125	35	4	50	0	0	5	1
Otu2874	7	0	0	0	0	0	0	0	0	0
Otu4531	1	1	0	2	0	1	0	0	0	0
Otu2605	5	0	0	1	0	0	0	0	0	0
Otu606	1	10	0	1	9	28	0	0	0	0
Otu2776	1	0	1	0	1	7	1	0	3	0
Otu679	1	31	2	4	2	9	0	0	0	0
Otu4824	3	0	0	0	0	0	0	0	0	0
Otu1930	6	23	3	1	0	6	0	0	0	0
Otu2257	3	2	0	2	6	13	35	4	5	2
Otu7	1	4	2	6	9119	338	93	26	106	1346
Otu2677	9	1	0	0	0	0	0	0	0	0
Otu1694	14	0	0	0	0	0	0	0	0	0
Otu3688	2	0	0	0	0	13	0	0	0	1
Otu3265	2	0	2	0	0	6	0	0	0	0
Otu1285	1	30	22	5	0	12	4	0	0	0
Otu1272	1	2	0	4	26	17	32	19	4	27
Otu203	3	236	0	4	0	5	0	0	0	0
Otu416	4	2	2	0	0	15	38	1	15	0
Otu3281	6	0	0	0	0	0	0	0	0	0
Otu922	25	0	0	0	0	0	0	0	0	0
Otu5078	4	7	3	0	6	0	2	0	4	2
Otu2208	3	0	0	0	1	2	0	0	1	0
Otu3578	3	1	0	0	2	2	0	0	1	4
Otu1946	1	5	5	68	7	19	12	0	1	0
Otu2597	1	6	1	1	3	3	0	0	0	0
Otu837	1	8	0	17	10	6	0	0	0	8
Otu265	7	0	1	2	1	28	7	78	103	27
Otu1108	1	34	3	1	0	3	0	0	0	0
Otu4493	5	0	0	0	0	0	0	0	0	0
Otu5532	4	23	0	6	19	97	0	0	0	0
Otu3161	1	0	2	0	4	2	1	7	0	0
Otu4734	2	3	0	1	0	4	0	0	0	0
Otu4088	3	9	0	1	0	5	0	0	0	0
Otu2392	1	11	0	1	1	14	0	0	0	0
Otu5667	1	0	1	0	0	2	0	0	0	0
Otu698	9	42	7	12	4	78	4	0	4	11
Otu3189	2	2	1	4	7	8	0	0	0	0
Otu3305	4	0	0	0	0	0	0	0	0	0
Otu319	1	47	0	16	9	47	0	0	0	3
Otu1570	14	54	2	3	0	9	0	0	0	0
Otu2779	1	11	0	0	0	3	0	0	0	0
Otu584	1	29	0	0	0	4	0	0	0	0
Otu5213	7	1	0	0	0	4	0	0	0	0
Otu7923	2	0	0	0	0	0	0	1	0	0
Otu1764	12	0	0	0	0	0	0	0	0	0
Otu732	4	16	1	6	2	10	0	0	0	0
Otu5767	3	0	0	0	0	0	0	0	0	0
Otu1719	5	0	0	0	0	19	1	0	0	0
Otu6186	1	0	0	3	0	2	0	0	0	0
Otu551	3	29	19	3	0	7	0	0	0	1
Otu4904	4	0	0	0	0	0	0	0	0	0
Otu2686	2	3	0	0	0	2	0	0	0	0
Otu5527	1	4	0	0	0	0	0	0	0	0
Otu1787	11	0	0	0	0	2	0	0	0	0
Otu570	4	3	24	3	62	88	1	0	12	2
Otu202	1	32	11	9	102	90	2	6	15	1
Otu1797	3	9	1	0	0	14	0	0	0	0
Otu29	7	464	12	1191	22	10	109	0	4	10
Otu3415	4	2	5	0	0	5	0	0	0	0
Otu1152	7	32	0	10	2	28	0	0	0	0
Otu1453	4	2	0	0	0	17	0	0	0	0
Otu233	1	0	96	69	38	0	58	0	5	0
Otu620	1	5	0	2	0	73	0	0	0	0
Otu685	9	3	39	0	1	1	0	0	0	0
